LH No.,Subject:,Date,Tags,Description
75-0001,Corning Glass Works Floods,1946,flood damage; office building basement; water damage; 1946 disaster; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and displaced furniture, papers, and household items scattered throughout the damaged interior space."
75-0001,Floods,1946,flood damage; office building basement; water damage; 1946 disaster; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and displaced furniture, papers, and household items scattered throughout the damaged interior space."
75-0002,Corning Glass Works Floods,1946,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flooded facility with multiple metal filing cabinets submerged in water and covered with papers and cloth, documenting the destruction caused by the 1946 Corning Glass Works flood."
75-0002,Floods,1946,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flooded facility with multiple metal filing cabinets submerged in water and covered with papers and cloth, documenting the destruction caused by the 1946 Corning Glass Works flood."
75-0003,Corning Glass Works Floods,1946,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, captioned ""Basement of Office Bldg. #21 in Advertising Dept. Water has receded and the basement was partially pumped."""
75-0003,Floods,1946,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, captioned ""Basement of Office Bldg. #21 in Advertising Dept. Water has receded and the basement was partially pumped."""
75-0004,Corning Glass Works Floods,1946,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY in 1946, showing a flooded alley between brick industrial buildings with scattered wooden debris and a man in period clothing observing the destruction."
75-0004,Floods,1946,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY in 1946, showing a flooded alley between brick industrial buildings with scattered wooden debris and a man in period clothing observing the destruction."
75-0005,Corning Glass Works Floods,1946,flooded street; 1940s automobiles; brick industrial buildings; flood waters; black and white photograph,"This black and white photograph documents the 1946 Corning Glass Works flood, showing two 1940s-era automobiles partially submerged in flood waters on a street surrounded by brick industrial buildings characteristic of the Corning, NY manufacturing district."
75-0005,Floods,1946,flooded street; 1940s automobiles; brick industrial buildings; flood waters; black and white photograph,"This black and white photograph documents the 1946 Corning Glass Works flood, showing two 1940s-era automobiles partially submerged in flood waters on a street surrounded by brick industrial buildings characteristic of the Corning, NY manufacturing district."
75-0006,Baron Steuben Hotel,1946,,
75-0006,Corning Glass Works Floods,1946,,
75-0006,Floods,1946,,
75-0007,Corning Glass Works Floods,1946,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of Office Building No. 21 at Corning Glass Works after water from the 1946 flood receded from the Advertising Department, showing damaged file cabinets, scattered papers, and debris throughout the workspace."
75-0007,Floods,1946,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of Office Building No. 21 at Corning Glass Works after water from the 1946 flood receded from the Advertising Department, showing damaged file cabinets, scattered papers, and debris throughout the workspace."
75-0008,Corning Glass Works Floods,1946,flooded street; brick industrial building; 1940s automobiles; flood damage; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely related to Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the image."
75-0008,Floods,1946,flooded street; brick industrial building; 1940s automobiles; flood damage; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely related to Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the image."
75-0009,Floods,1935,flooded house; structural damage; new york state flood; july 1935; black and white photograph,"A residential house is partially submerged and tilted at an angle in floodwaters during the July 8, 1935 New York State flood, with debris and trees visible in the background, captioned as ""A very common sight in New York State Flood—Flood July 8, 1935."""
75-0010,Floods,1935,flooded landscape; rural road; forest; 1935 flood; black and white photograph,"This photograph documents the flooding along the Corning and Painted Post Road on July 8, 1935, showing a submerged rural landscape with trees, vegetation, and a fence partially underwater, with forested hills visible in the background."
75-0011,"Corning, New York",1935,residential street; victorian house; 1935; corning new york; black and white photograph,"A 1935 black and white photograph of a Victorian-era residential street in Corning, New York, showing a white wooden house with a distinctive turret and wraparound porch, lattice fencing, mature trees, and a street sign reading ""LEE"" visible in the foreground."
75-0012,Floods,1935,flooded street; residential neighborhood; wooden houses; 1935 flood; black and white photograph,"This photograph documents the flooding on High Street in Painted Post, New York on July 8, 1935, showing residential wooden structures partially submerged in floodwaters with trees visible in the background."
75-0013,Floods,1935,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,"This black and white photograph documents the July 8th flood at Painted Post, New York, showing residential and commercial buildings partially submerged in floodwater, with utility poles and railroad tracks visible in the foreground."
75-0014,Corning Glass Works Floods,1946,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flood-damaged building in Corning, NY from 1946, with water-stained walls, overturned wooden chairs, and debris scattered across the floor, documenting the destruction caused by the Corning Glass Works flood."
75-0014,Floods,1946,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flood-damaged building in Corning, NY from 1946, with water-stained walls, overturned wooden chairs, and debris scattered across the floor, documenting the destruction caused by the Corning Glass Works flood."
75-0016,John Burg,1918,,
75-0021,Robert Austin,1918,portrait photograph; man; 1918; black and white; formal attire,"A formal black and white portrait photograph from 1918 showing Robert Austin, a man wearing a suit with a bow tie and white collar, photographed in profile against a dark background."
75-0022,Thomas J. Cunningham,1918,portrait photograph; man; 1918; formal attire; black and white photograph,"A formal black and white portrait photograph from 1918 showing Thomas J. Cunningham, a man wearing a suit jacket, white dress shirt, and patterned tie, photographed against a plain background."
75-0029,John H. Douherty,1918,portrait photograph; man; eyeglasses; formal attire; 1918,"A black and white portrait photograph from 1918 of John H. Dougherty, a man wearing oval-framed eyeglasses, a suit jacket, and a striped tie, shown from the shoulders up against a plain background."
75-0037,"""Four Minute Men""",1918,portrait photograph; world war i; four minute men; corning; 1918; black and white,"A black and white portrait photograph from 1918 showing a man in formal attire with the header text ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Four Minute Men speaker from Corning, NY during World War I."
75-0039,Lynn A. Frence,1918,portrait photograph; man; 1918; black and white; formal headshot,"A formal black and white portrait photograph from 1918 showing Lynn A. Frence, a man wearing a collared shirt with a button visible, photographed in profile against a plain background."
75-0041,James P. Conny,1918,portrait photograph; man; sailor uniform; 1918; black and white photograph,"A black and white portrait photograph from 1918 showing James P. Conny, a young man wearing a naval sailor's uniform with visible striped collar detail."
75-0043,Albert J. Barrett,1918,world war i soldier; military uniform; rifle with bayonet; portrait; black and white photograph,"A 1918 portrait photograph of Albert J. Barrett in World War I military uniform holding a rifle with bayonet attachment, posed against a wooden wall backdrop with decorative stars."
75-0047,Cora Everson,1918,portrait photograph; woman; eyeglasses; 1918; black and white,"A black and white portrait photograph from 1918 showing Cora Everson, a woman wearing round eyeglasses and light-colored clothing, from the Corning, NY local history archive (ID: 75-0047)."
75-0052,Ernest T. Brooks,1918,military uniform; world war i; portrait photograph; soldier; black and white photograph,A 1918 black and white portrait photograph of Ernest T. Brooks wearing a World War I military uniform and campaign hat with a star insignia visible in the upper left corner.
75-0055,Cora Everson,1918,portrait collage; black and white photograph; 1918; numbered figures; illustrated scenes,"A 1918 composite photograph from the Corning local history archive featuring multiple numbered portraits and illustrations, including headshots of individuals labeled with numbers (5, 8) and a star-shaped vignette, along with sketched scenes depicting period activities, presented as a documentary or archival collage."
75-0056,Isabel Walker Drake Family Photo,c.1900,rural landscape; baseball field; early 1900s; black and white photograph; archival image,"A circa 1900 black and white photograph showing a baseball game in progress on a rural field with trees lining the horizon, with archival reference number 83 visible on the mount."
75-0057,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; women; garden gate; church steeple; black and white photograph,"A black and white photograph from circa 1900 showing two women standing at a garden gate with a church steeple visible in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive."
75-0058,Isabel Walker Drake Family Photo,c. 1900,,
75-0059,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; ivy-covered house; turn-of-century; residential property; black and white photograph,"A circa 1900 photograph showing a person riding in a horse-drawn carriage on the grounds of the Isabel Walker Drake family residence in Corning, NY, with the house heavily draped in climbing ivy visible in the background."
75-0060,Corning Free Academy,1954,corning free academy; basketball team; 1954; team portrait; black and white photograph,"A 1954 black and white team photograph of the Corning Free Academy basketball team posed in front of a brick building, showing players wearing uniforms with ""C"" letters and two adult coaches or staff members in suits."
75-0061,Mrs. John Bong,1918,,
75-0061,Mrs. Harold Carr,1918,,
75-0063,Fifth War Loan Drive,,,
75-0064,"Alley's Inn, Seneca Lake",1918,alley's inn; corning chamber of commerce; 1918 booster trip; large group gathering; historic building with band,"A 1918 photograph showing the Corning Chamber of Commerce booster trip gathered in front of Alley's Inn near Seneca Lake, with a large crowd of men in suits and hats posing with the Corning Band and their instruments, with a banner visible at the top reading ""Corning's Part in the World War 1918."""
75-0065,Baseball,1928,baseball team; corning free academy; 1928; black and white photograph; brick building,"A 1928 baseball team from Corning Free Academy poses for a formal group portrait in front of a brick building with decorative architectural details, with players in uniforms and a coach or administrator in a suit."
75-0065,Corning Free Academy,1928,baseball team; corning free academy; 1928; black and white photograph; brick building,"A 1928 baseball team from Corning Free Academy poses for a formal group portrait in front of a brick building with decorative architectural details, with players in uniforms and a coach or administrator in a suit."
75-0066,"Northside, Corning, New York",,bird's-eye view; northside corning; residential neighborhood; high school; black and white photograph,"A bird's-eye view of the North Side of Corning, New York showing W. Pultney Street and the New North Side High School, with residential buildings, trees, and surrounding hills visible in this historical black and white photograph."
75-0067,"Centerway Square, Corning, N.Y. ",1916,centerway square; clocktower; corning new york; 1916; black and white photograph,"This 1916 black and white photograph shows Centerway Square in Corning, New York, featuring a prominent stone clocktower with a pointed spire and visible clock face, surrounded by brick commercial buildings, utility poles with power lines, and industrial smokestacks in the background."
75-0067,"Clocktower, Corning, N.Y. ",1916,centerway square; clocktower; corning new york; 1916; black and white photograph,"This 1916 black and white photograph shows Centerway Square in Corning, New York, featuring a prominent stone clocktower with a pointed spire and visible clock face, surrounded by brick commercial buildings, utility poles with power lines, and industrial smokestacks in the background."
75-0068,"Erie Railroad, Corning, N.Y. ",,,
75-0075,"Centerway Square, Corning, N.Y. ",1920s,,
75-0075,"Clocktower, Corning, N.Y. ",1920s,,
75-0076,Class Pictures ,1904,,
75-0076,Corning Free Academy,1924,,
75-0079,"Brewer Place, Caton, N.Y. ",1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
