LHNo,filename,extension,size_bytes,size_human,width_px,height_px,megapixels,md5,sha256,Subject,Date,Tags,Description,url
75-0001,lh-75-0001.jpg,jpg,640954,625.9 KB,2640,1920,5.07,ad3620950df8a68db67ece02bb7ec583,be17b3094894a7f4e232fb4821bbc9f9adf3e7e4f0bf580171e2a826cc4e7329,Corning Glass Works Floods,1946,flood damage; office building basement; water damage; scattered debris; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and personal items, furniture, and papers scattered and damaged throughout the space.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0001.jpg
75-0002,lh-75-0002.jpg,jpg,653894,638.6 KB,2664,2080,5.54,9183dedce3ecf40562bf16ad9d167b0a,0670d37ae907c047062846a2bc5087752df30f469d9a67664e5654fa2f900ec7,Corning Glass Works Floods,1946,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flood-damaged office or facility in Corning, NY from 1946, with multiple filing cabinets submerged in floodwater and papers and materials scattered throughout the space, documenting the destruction caused by the Corning Glass Works Floods.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0002.jpg
75-0003,lh-75-0003.jpg,jpg,750479,732.9 KB,2647,2079,5.5,a45f6166d78089b4a70697844e13843e,734981f06882aef0c4219775c98426e9bb506d52ff63404a56c2eb2b8660fbab,Corning Glass Works Floods,1946,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, as indicated by the caption noting the water had receded and the basement was partially pumped during the 1946 flood.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0003.jpg
75-0004,lh-75-0004.jpg,jpg,777343,759.1 KB,2880,2336,6.73,e28019879cef8a986ecf40298cd4f935,550071f2d22edabd43e71819944009351f665193567f6cb6e5f2757862486f85,Corning Glass Works Floods,1946,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY showing a flooded alley between brick industrial buildings with wooden crates and debris scattered throughout, observed by a man in period clothing and hat.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0004.jpg
75-0005,lh-75-0005.jpg,jpg,574734,561.3 KB,2280,2888,6.58,12fde1c1c99c83ec441bd18c4cc5ce29,9262e2e2d0769bc710d9270259e8b22a9902345ff5939e2aaba379c1b29e6c6f,Corning Glass Works Floods,1946,flooded street; 1940s automobiles; brick industrial buildings; floodwaters; black and white photograph,"This black and white photograph shows a flooded street in Corning, NY during the 1946 flood, with two 1940s-era automobiles partially submerged in floodwater in front of large brick industrial buildings, likely part of the Corning Glass Works facility.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0005.jpg
75-0007,lh-75-0007.jpg,jpg,608881,594.6 KB,2784,2192,6.1,def308657aac3fd2689c6ed8924d45d1,43c50f4cbca0914df10420ce46bd1da3ab6581657532d1e54a6058e3e6426b65,Corning Glass Works Floods,1946,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of an office in Building No. 21 of the Corning Glass Works after water from the 1946 flood receded, showing damaged file cabinets, scattered papers, and waterlogged materials throughout the workspace.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0007.jpg
75-0008,lh-75-0008.jpg,jpg,776045,757.9 KB,2360,2927,6.91,2c7e4411887401827612951140a52ba5,dd177febb5b6e30e92d14d8c734c51cced98e078409dabb360d2ab8341b82262,Corning Glass Works Floods,1946,flooded street; brick industrial building; 1940s automobile; people wading; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the frame.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0008.jpg
75-0009,lh-75-0009.jpg,jpg,626995,612.3 KB,2952,2360,6.97,197904f1cdf16ecee5983a3e7114f37c,c13da76ee4d42cd39909649b4caf612e75c3f68bfb000f5df8d328c412b6c255,Floods,1935,flooded house; structural damage; new york state flood; july 1935; black and white photograph,"A residential house is partially submerged and tilted at an angle in floodwaters during the July 8, 1935 New York State flood, with debris and trees visible in the background, captioned as ""A very common sight in New York State Flood—Flood July 8, 1935.""",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0009.jpg
75-0010,lh-75-0010.jpg,jpg,951619,929.3 KB,2968,2352,6.98,3283de6ce5a5a93a009a0b08647b2eaa,3fd7cd41667c440f844d033ea0e1e81e05b25ffcf3452e7f3b49cc91b1ade2d4,Floods,1935,flooded landscape; rural road; forest; 1935 flood; black and white photograph,"This photograph documents the flooding along the Corning and Painted Post Road on July 8, 1935, showing a submerged rural landscape with trees, vegetation, and a fence partially underwater, with forested hills visible in the background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0010.jpg
75-0011,lh-75-0011.jpg,jpg,927579,905.8 KB,2664,2128,5.67,484fafa9b0607f617f6ed041c2133b99,fb55f27f4d44ab54f754dec5f66e32a0d1f7495697aa918c6b4f45873b71a8d3,"Corning, New York",1935,residential street; victorian house; 1935; corning new york; black and white photograph,"A 1935 black and white photograph of a Victorian-era residential street in Corning, New York, showing a white wooden house with a turret and wraparound porch, lattice fencing, mature trees, and a street sign reading ""LEE"" visible in the foreground.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0011.jpg
